t1,ch1,t2,ch2
-82.596696,3.4044467926025392,-82.596695875,-0.004981842041015625
-82.396704,3.4044467926025392,-82.396703875,0.0
-82.196712,3.399469985961914,-82.196711875,-0.00996368408203125
-81.99672,3.399469985961914,-81.996719875,0.0
-81.796728,3.394493179321289,-81.796727875,-0.00996368408203125
-81.596736,3.394493179321289,-81.59673587500001,-0.00996368408203125
-81.396744,3.4044467926025392,-81.396743875,-0.00996368408203125
-81.196752,3.4044467926025392,-81.196751875,-0.004981842041015625
-80.99676,3.394493179321289,-80.996759875,-0.00996368408203125
-80.796768,3.4094235992431643,-80.796767875,0.004981842041015625
-80.596776,3.3895163726806645,-80.596775875,-0.014945526123046875
-80.396784,3.399469985961914,-80.396783875,-0.00996368408203125
-80.196792,3.4044467926025392,-80.196791875,0.0
-79.99680000000001,3.399469985961914,-79.99679987500001,0.0
-79.796808,3.4094235992431643,-79.796807875,0.0
-79.596816,3.399469985961914,-79.596815875,0.004981842041015625
-79.396824,3.399469985961914,-79.396823875,-0.00996368408203125
-79.196832,3.4044467926025392,-79.196831875,0.0
-78.99684,3.399469985961914,-78.996839875,0.0
-78.796848,3.3895163726806645,-78.796847875,-0.00996368408203125
-78.596856,3.399469985961914,-78.596855875,-0.004981842041015625
-78.39686400000001,3.3895163726806645,-78.39686387500001,0.0
-78.196872,3.4044467926025392,-78.196871875,0.004981842041015625
-77.99688,3.399469985961914,-77.996879875,-0.004981842041015625
-77.796888,3.399469985961914,-77.796887875,-0.004981842041015625
-77.596896,3.399469985961914,-77.596895875,-0.004981842041015625
-77.396904,3.399469985961914,-77.396903875,0.0
-77.196912,3.394493179321289,-77.196911875,-0.00996368408203125
-76.99692,3.4044467926025392,-76.996919875,0.004981842041015625
-76.79692800000001,3.4044467926025392,-76.79692787500001,0.004981842041015625
-76.596936,3.3895163726806645,-76.596935875,-0.004981842041015625
-76.396944,3.3845395660400395,-76.396943875,-0.00996368408203125
-76.196952,3.394493179321289,-76.196951875,-0.004981842041015625
-75.99696,3.399469985961914,-75.996959875,0.0
-75.796968,3.394493179321289,-75.796967875,-0.004981842041015625
-75.596976,3.3845395660400395,-75.596975875,0.0
-75.396984,3.3845395660400395,-75.396983875,-0.004981842041015625
-75.196992,3.4044467926025392,-75.196991875,0.0
-74.997,3.394493179321289,-74.996999875,0.0
-74.797008,3.3895163726806645,-74.797007875,0.0
-74.597016,3.394493179321289,-74.597015875,-0.004981842041015625
-74.397024,3.399469985961914,-74.397023875,-0.00996368408203125
-74.19703200000001,3.394493179321289,-74.19703187500001,0.0
-73.99704,3.3895163726806645,-73.997039875,0.0
-73.797048,3.399469985961914,-73.797047875,-0.004981842041015625
-73.597056,3.399469985961914,-73.597055875,0.0
-73.397064,3.394493179321289,-73.397063875,0.0
-73.197072,3.394493179321289,-73.197071875,0.004981842041015625
-72.99708,3.394493179321289,-72.997079875,-0.004981842041015625
-72.797088,3.3845395660400395,-72.797087875,-0.014945526123046875
-72.59709600000001,3.4044467926025392,-72.59709587500001,0.004981842041015625
-72.397104,3.399469985961914,-72.397103875,0.0
-72.197112,3.3845395660400395,-72.197111875,-0.00996368408203125
-71.99712,3.394493179321289,-71.997119875,-0.00996368408203125
-71.797128,3.3895163726806645,-71.797127875,-0.00996368408203125
-71.597136,3.3895163726806645,-71.597135875,-0.004981842041015625
-71.397144,3.394493179321289,-71.397143875,-0.004981842041015625
-71.197152,3.399469985961914,-71.197151875,-0.004981842041015625
-70.99716000000001,3.394493179321289,-70.99715987500001,-0.004981842041015625
-70.797168,3.3845395660400395,-70.797167875,0.0
-70.597176,3.3895163726806645,-70.597175875,0.004981842041015625
-70.397184,3.3845395660400395,-70.397183875,0.004981842041015625
-70.197192,3.394493179321289,-70.197191875,0.0
-69.9972,3.3845395660400395,-69.997199875,-0.004981842041015625
-69.797208,3.3845395660400395,-69.797207875,-0.004981842041015625
-69.597216,3.3845395660400395,-69.597215875,-0.00996368408203125
-69.397224,3.3845395660400395,-69.397223875,-0.00996368408203125
-69.197232,3.394493179321289,-69.197231875,0.0
-68.99724,3.3795627593994144,-68.997239875,0.00996368408203125
-68.797248,3.3895163726806645,-68.797247875,0.0
-68.597256,3.3795627593994144,-68.597255875,-0.004981842041015625
-68.397264,3.3795627593994144,-68.39726387500001,-0.004981842041015625
-68.197272,3.3795627593994144,-68.197271875,0.0
-67.99728,3.3845395660400395,-67.997279875,-0.004981842041015625
-67.797288,3.3895163726806645,-67.797287875,-0.004981842041015625
-67.597296,3.3895163726806645,-67.597295875,0.0
-67.397304,3.3895163726806645,-67.397303875,0.0
-67.197312,3.3845395660400395,-67.197311875,-0.00996368408203125
-66.99732,3.3895163726806645,-66.997319875,0.0
-66.79732800000001,3.3845395660400395,-66.79732787500001,-0.004981842041015625
-66.597336,3.3795627593994144,-66.597335875,-0.014945526123046875
-66.397344,3.3895163726806645,-66.397343875,-0.004981842041015625
-66.197352,3.3745859527587894,-66.197351875,-0.004981842041015625
-65.99736,3.3845395660400395,-65.997359875,-0.004981842041015625
-65.797368,3.3845395660400395,-65.797367875,-0.004981842041015625
-65.597376,3.3795627593994144,-65.597375875,-0.004981842041015625
-65.397384,3.3795627593994144,-65.397383875,-0.00996368408203125
-65.19739200000001,3.3845395660400395,-65.19739187500001,-0.004981842041015625
-64.9974,3.3745859527587894,-64.997399875,-0.00996368408203125
-64.797408,3.3845395660400395,-64.797407875,-0.00996368408203125
-64.597416,3.3895163726806645,-64.597415875,-0.004981842041015625
-64.397424,3.3795627593994144,-64.397423875,-0.004981842041015625
-64.197432,3.3845395660400395,-64.197431875,-0.004981842041015625
-63.99744,3.3845395660400395,-63.997439875,-0.004981842041015625
-63.797448,3.3795627593994144,-63.797447875,-0.00996368408203125
-63.597456,3.3845395660400395,-63.597455875,0.004981842041015625
-63.397464,3.3745859527587894,-63.397463875,-0.004981842041015625
-63.197472,3.3895163726806645,-63.197471875,0.0
-62.99748,3.3845395660400395,-62.997479875,0.0
-62.797488,3.3795627593994144,-62.797487875,-0.004981842041015625
-62.597496,3.3745859527587894,-62.597495875,-0.00996368408203125
-62.397504,3.3845395660400395,-62.397503875,-0.004981842041015625
-62.197512,3.3845395660400395,-62.197511875000004,-0.004981842041015625
-61.99752,3.3845395660400395,-61.997519875,0.004981842041015625
-61.797528,3.3845395660400395,-61.797527875,0.0
-61.597536,3.3845395660400395,-61.597535875,-0.00996368408203125
-61.397544,3.3745859527587894,-61.397543875000004,0.0
-61.197552,3.3745859527587894,-61.197551875,-0.00996368408203125
-60.99756,3.3845395660400395,-60.997559875,-0.00996368408203125
-60.797568,3.3745859527587894,-60.797567875,-0.004981842041015625
-60.597576000000004,3.3795627593994144,-60.597575875000004,0.0
-60.397584,3.3845395660400395,-60.397583875,-0.004981842041015625
-60.197592,3.3845395660400395,-60.197591875,-0.00996368408203125
-59.9976,3.3795627593994144,-59.997599875,-0.014945526123046875
-59.797608000000004,3.3845395660400395,-59.797607875000004,-0.00996368408203125
-59.597616,3.3745859527587894,-59.597615875,-0.00996368408203125
-59.397624,3.394493179321289,-59.397623875,0.00996368408203125
-59.197632,3.3795627593994144,-59.197631875,-0.004981842041015625
-58.997640000000004,3.3745859527587894,-58.997639875000004,-0.004981842041015625
-58.797648,3.3745859527587894,-58.797647875,-0.004981842041015625
-58.597656,3.3795627593994144,-58.597655875,0.004981842041015625
-58.397664,3.3745859527587894,-58.397663875,-0.004981842041015625
-58.197672000000004,3.3795627593994144,-58.197671875000005,-0.014945526123046875
-57.99768,3.3696091461181643,-57.997679875,-0.004981842041015625
-57.797688,3.3745859527587894,-57.797687875,-0.004981842041015625
-57.597696,3.3795627593994144,-57.597695875,0.0
-57.397704,3.3795627593994144,-57.397703875,0.0
-57.197712,3.3845395660400395,-57.197711875,-0.004981842041015625
-56.99772,3.3745859527587894,-56.997719875,0.0
-56.797728,3.3745859527587894,-56.797727875,-0.004981842041015625
-56.597736,3.3795627593994144,-56.597735875,0.0
-56.397744,3.3845395660400395,-56.397743875,0.0
-56.197752,3.3795627593994144,-56.197751875,-0.004981842041015625
-55.99776,3.3745859527587894,-55.997759875,-0.00996368408203125
-55.797768,3.3696091461181643,-55.797767875,-0.00996368408203125
-55.597776,3.3745859527587894,-55.597775875,0.004981842041015625
-55.397784,3.3745859527587894,-55.397783875,-0.004981842041015625
-55.197792,3.3795627593994144,-55.197791875,0.004981842041015625
-54.9978,3.3696091461181643,-54.997799875,0.0
-54.797808,3.3745859527587894,-54.797807875000004,-0.00996368408203125
-54.597816,3.3696091461181643,-54.597815875,-0.00996368408203125
-54.397824,3.3696091461181643,-54.397823875,-0.00996368408203125
-54.197832,3.3745859527587894,-54.197831875,-0.004981842041015625
-53.997840000000004,3.3696091461181643,-53.997839875000004,-0.00996368408203125
-53.797848,3.3646323394775393,-53.797847875,0.0
-53.597856,3.3696091461181643,-53.597855875,-0.00996368408203125
-53.397864,3.3745859527587894,-53.397863875,0.0
-53.197872000000004,3.3696091461181643,-53.197871875000004,-0.014945526123046875
-52.99788,3.3696091461181643,-52.997879875,-0.004981842041015625
-52.797888,3.3795627593994144,-52.797887875,0.0
-52.597896,3.3696091461181643,-52.597895875,-0.004981842041015625
-52.397904000000004,3.359655532836914,-52.397903875000004,-0.00996368408203125
-52.197912,3.3646323394775393,-52.197911875,-0.00996368408203125
-51.99792,3.3696091461181643,-51.997919875,0.0
-51.797928,3.3745859527587894,-51.797927875,0.0
-51.597936000000004,3.3745859527587894,-51.597935875000005,0.0
-51.397944,3.3745859527587894,-51.397943875,-0.004981842041015625
-51.197952,3.3745859527587894,-51.197951875,0.0
